type,x,y
L,3.45476,2.41227
L,3.46417,2.42077
L,3.47354,2.42928
L,3.48287,2.43782
L,3.49217,2.44638
L,3.50142,2.45497
L,3.51064,2.46358
L,3.51981,2.47221
L,3.52895,2.48087
L,3.53805,2.48955
L,3.5471,2.49825
L,3.55611,2.50699
L,3.56508,2.51574
L,3.57401,2.52452
L,3.5829,2.53333
L,3.59174,2.54216
L,3.60054,2.55102
L,3.6093,2.5599
L,3.61801,2.5688
L,3.62668,2.57772
L,3.63531,2.58667
L,3.6439,2.59564
L,3.65245,2.60463
L,3.66095,2.61365
L,3.66941,2.62268
L,3.67782,2.63173
L,3.68619,2.6408
L,3.69452,2.6499
L,3.70281,2.65901
L,3.71106,2.66814
L,3.71926,2.67728
L,3.72742,2.68645
L,3.73553,2.69563
L,3.74361,2.70484
L,3.75164,2.71405
L,3.75964,2.72329
L,3.76759,2.73254
L,3.7755,2.74181
L,3.78337,2.7511
L,3.7912,2.7604
L,3.79899,2.76972
L,3.80674,2.77905
L,3.81446,2.7884
L,3.82213,2.79777
L,3.82976,2.80714
L,3.83736,2.81654
L,3.84491,2.82594
L,3.85243,2.83537
L,3.85991,2.8448
L,3.86734,2.85425
L,3.87474,2.86371
L,3.8821,2.87318
L,3.88942,2.88266
L,3.8967,2.89216
L,3.90395,2.90166
L,3.91115,2.91118
L,3.91831,2.9207
L,3.92544,2.93024
L,3.93253,2.93978
L,3.93957,2.94933
L,3.94658,2.9589
L,3.95355,2.96847
L,3.96048,2.97804
L,3.96737,2.98763
L,3.97423,2.99723
L,3.98104,3.00683
L,3.98782,3.01645
L,3.99456,3.02607
L,4.00127,3.0357
L,4.00793,3.04534
L,4.01456,3.05499
L,4.02115,3.06465
L,4.02771,3.07432
L,4.03423,3.08399
L,4.04071,3.09368
L,4.04716,3.10337
L,4.05357,3.11307
L,4.05995,3.12278
L,4.06628,3.1325
L,4.07259,3.14222
L,4.07885,3.15195
L,4.08508,3.16168
L,4.09128,3.17142
L,4.09743,3.18116
L,4.10355,3.19091
L,4.10964,3.20066
L,4.11569,3.21041
L,4.1217,3.22017
L,4.12767,3.22992
L,4.13361,3.23968
L,4.13951,3.24944
L,4.14538,3.2592
L,4.1512,3.26896
L,4.157,3.27871
L,4.16275,3.28847
L,4.16847,3.29823
L,4.17415,3.30799
L,4.17979,3.31775
L,4.1854,3.3275
L,4.19097,3.33726
L,4.1965,3.34701
L,4.202,3.35677
L,4.20746,3.36652
L,4.21288,3.37626
L,4.21826,3.38601
L,4.22361,3.39576
L,4.22892,3.4055
L,4.23419,3.41524
L,4.23943,3.42498
L,4.24462,3.43471
L,4.24978,3.44445
L,4.2549,3.45418
L,4.25998,3.46392
L,4.26502,3.47365
L,4.27002,3.48338
L,4.27498,3.49312
L,4.2799,3.50285
L,4.28478,3.51259
L,4.28962,3.52232
L,4.29443,3.53206
L,4.29919,3.5418
L,4.30391,3.55153
L,4.30859,3.56127
L,4.31322,3.57102
L,4.31782,3.58076
L,4.32238,3.5905
L,4.32689,3.60025
L,4.33137,3.61
L,4.3358,3.61974
L,4.34019,3.62949
L,4.34454,3.63924
L,4.34885,3.64899
L,4.35312,3.65874
L,4.35734,3.66849
L,4.36152,3.67824
L,4.36567,3.68799
L,4.36977,3.69774
L,4.37382,3.70749
L,4.37784,3.71724
L,4.38181,3.727
L,4.38575,3.73675
L,4.38964,3.74651
L,4.39348,3.75627
L,4.39729,3.76603
L,4.40105,3.7758
L,4.40477,3.78557
L,4.40845,3.79534
L,4.41208,3.80512
L,4.41568,3.8149
L,4.41923,3.82469
L,4.42273,3.83449
L,4.4262,3.84429
L,4.42962,3.8541
L,4.433,3.86391
L,4.43633,3.87373
L,4.43963,3.88356
L,4.44288,3.89338
L,4.44609,3.90322
L,4.44926,3.91306
L,4.45239,3.9229
L,4.45548,3.93274
L,4.45853,3.94259
L,4.46153,3.95244
L,4.4645,3.96229
L,4.46743,3.97214
L,4.47032,3.98199
L,4.47317,3.99185
L,4.47598,4.00171
L,4.47876,4.01156
L,4.48149,4.02142
L,4.48419,4.03127
L,4.48685,4.04113
L,4.48947,4.05098
L,4.49205,4.06083
L,4.4946,4.07068
L,4.49712,4.08053
L,4.49959,4.09038
L,4.50203,4.10022
L,4.50443,4.11006
L,4.5068,4.1199
L,4.50914,4.12974
L,4.51143,4.13957
L,4.5137,4.1494
L,4.51593,4.15922
L,4.51812,4.16905
L,4.52029,4.17886
L,4.52242,4.18868
L,4.52452,4.19849
L,4.52659,4.20831
L,4.52863,4.21812
L,4.53063,4.22793
L,4.53261,4.23773
L,4.53456,4.24754
L,4.53649,4.25735
L,4.53839,4.26716
L,4.54026,4.27697
L,4.5421,4.28677
L,4.54392,4.29658
L,4.54571,4.3064
L,4.54749,4.31621
L,4.54923,4.32602
L,4.55096,4.33584
L,4.55267,4.34566
L,4.55436,4.35548
L,4.55603,4.3653
L,4.55768,4.37512
L,4.55931,4.38495
L,4.56093,4.39478
L,4.56253,4.40461
L,4.56412,4.41444
L,4.5657,4.42428
L,4.56726,4.43411
L,4.56882,4.44395
L,4.57036,4.4538
L,4.57189,4.46365
L,4.57342,4.4735
L,4.57494,4.48335
L,4.57645,4.49322
L,4.57795,4.50309
L,4.57945,4.51297
L,4.58095,4.52285
L,4.58244,4.53275
L,4.58392,4.54266
L,4.58541,4.55258
L,4.58689,4.56251
L,4.58837,4.57245
L,4.58986,4.58241
L,4.59134,4.59238
L,4.59282,4.60237
L,4.59431,4.61238
L,4.5958,4.6224
L,4.59729,4.63243
L,4.59879,4.64248
L,4.60029,4.65255
L,4.6018,4.66263
L,4.60332,4.67272
L,4.60484,4.68283
L,4.60637,4.69295
L,4.60791,4.70308
L,4.60946,4.71322
L,4.61102,4.72338
L,4.61259,4.73354
L,4.61417,4.74372
L,4.61576,4.75391
L,4.61737,4.7641
L,4.61899,4.77431
L,4.62063,4.78453
L,4.62228,4.79475
L,4.62394,4.80498
L,4.62562,4.81522
L,4.62731,4.82547
L,4.62902,4.83573
L,4.63075,4.84599
L,4.63249,4.85625
L,4.63425,4.86652
L,4.63602,4.8768
L,4.63782,4.88708
L,4.63963,4.89737
L,4.64145,4.90766
L,4.6433,4.91795
L,4.64516,4.92825
L,4.64705,4.93855
L,4.64895,4.94884
L,4.65087,4.95914
L,4.65281,4.96944
L,4.65477,4.97973
L,4.65674,4.99002
L,4.65873,5.00031
L,4.66075,5.01059
L,4.66278,5.02086
L,4.66483,5.03113
L,4.6669,5.04139
L,4.66898,5.05164
L,4.67109,5.06188
L,4.67321,5.07211
L,4.67536,5.08233
L,4.67752,5.09253
L,4.6797,5.10272
L,4.6819,5.1129
L,4.68413,5.12306
L,4.68637,5.13321
L,4.68863,5.14334
L,4.69092,5.15346
L,4.69323,5.16356
L,4.69556,5.17364
L,4.69791,5.1837
L,4.70028,5.19374
L,4.70268,5.20377
L,4.7051,5.21377
L,4.70754,5.22375
L,4.71001,5.23371
L,4.71251,5.24365
L,4.71502,5.25357
L,4.71756,5.26346
L,4.72013,5.27334
L,4.72272,5.2832
L,4.72533,5.29303
L,4.72797,5.30285
L,4.73063,5.31265
L,4.73331,5.32243
L,4.73602,5.33219
L,4.73875,5.34193
L,4.7415,5.35166
L,4.74428,5.36136
L,4.74707,5.37105
L,4.7499,5.38073
L,4.75274,5.39039
L,4.75561,5.40003
L,4.7585,5.40966
L,4.76142,5.41927
L,4.76436,5.42886
L,4.76732,5.43844
L,4.77031,5.448
L,4.77333,5.45754
L,4.77637,5.46707
L,4.77944,5.47658
L,4.78254,5.48608
L,4.78566,5.49556
L,4.78881,5.50503
L,4.79199,5.51448
L,4.79519,5.52391
L,4.79843,5.53333
L,4.80169,5.54273
L,4.80498,5.55211
L,4.8083,5.56149
L,4.81165,5.57084
L,4.81503,5.58019
L,4.81844,5.58952
L,4.82187,5.59884
L,4.82534,5.60815
L,4.82883,5.61744
L,4.83236,5.62673
L,4.83591,5.636
L,4.83949,5.64527
L,4.8431,5.65452
L,4.84675,5.66377
L,4.85042,5.67301
L,4.85412,5.68223
L,4.85785,5.69145
L,4.86161,5.70067
L,4.8654,5.70987
L,4.86922,5.71906
L,4.87307,5.72824
L,4.87695,5.73741
L,4.88086,5.74657
L,4.8848,5.75572
L,4.88877,5.76485
L,4.89277,5.77398
L,4.8968,5.78309
L,4.90086,5.79218
L,4.90495,5.80127
L,4.90907,5.81034
L,4.91322,5.8194
L,4.9174,5.82844
L,4.92161,5.83747
L,4.92585,5.84648
L,4.93012,5.85547
L,4.93442,5.86445
L,4.93876,5.87341
L,4.94312,5.88236
L,4.94752,5.89128
L,4.95195,5.90019
L,4.95642,5.90908
L,4.96092,5.91795
L,4.96545,5.9268
L,4.97001,5.93563
L,4.9746,5.94444
L,4.97924,5.95322
